"","lot","Tester","measstep","HandlerID","Loadboard","EndTimestamp.datetime","failPercent","LotQty"
"1","lot13","tester3","B1","Handler1","Loadboard2","1/25/2019 1:57",13.3195475003041,8221
"2","lot13","tester3","B3","Handler2","Loadboard2","1/27/2019 11:22",38.3333333333333,180
"3","lot13","tester3","B2","Handler2","Loadboard7","1/29/2019 5:25",32.4562507868564,7943
"4","lot38","tester3","B1","Handler1","Loadboard2","1/24/2019 17:34",6.94096601073345,8385
"5","lot38","tester3","B3","Handler1","Loadboard2","1/25/2019 8:47",6.10797162438379,8317
"6","lot38","tester5","B2","Handler3","Loadboard3","1/26/2019 15:55",25.8268681094324,4898
"7","lot39","tester3","B1","Handler2","Loadboard3","2/1/2019 16:58",2.38292827504446,8435
"8","lot39","tester3","B3","Handler2","Loadboard3","2/2/2019 5:01",5.16044061302682,8352
"9","lot39","tester3","B2","Handler2","Loadboard3","2/2/2019 19:41",2.38849622227638,8206
"10","lot40","tester3","B1","Handler1","Loadboard2","1/24/2019 9:58",9.64776119402985,8375
"11","lot40","tester3","B3","Handler1","Loadboard2","1/25/2019 10:49",12.4579124579125,891
"12","lot40","tester5","B2","Handler3","Loadboard3","1/27/2019 11:12",10.6086742237555,8116
"13","lot42","tester3","B1","Handler2","Loadboard3","2/1/2019 10:04",2.63985621208717,8902
"14","lot42","tester3","B3","Handler2","Loadboard3","2/1/2019 23:21",4.9637352674524,8824
"15","lot42","tester3","B2","Handler2","Loadboard3","2/2/2019 13:19",7.57159221076747,8730
"16","lot43","tester3","B1","Handler1","Loadboard2","1/24/2019 1:58",11.9524258125294,8492
"17","lot43","tester3","B3","Handler1","Loadboard1","1/25/2019 22:38",7.25939938519745,8458
"18","lot43","tester5","B2","Handler3","Loadboard3","1/26/2019 7:53",10.1825557809331,7395
"19","lot1","tester3","B3","Handler3","Loadboard2","12/13/2018 4:35",2.22812283537289,8662
"20","lot2","tester1","B3","Handler2","Loadboard4","12/10/2018 18:27",5.27701590784421,9115
"21","lot3","tester2","B3","Handler2","Loadboard5","12/23/2018 1:44",3.96413912292072,9258
"22","lot4","tester3","B3","Handler3","Loadboard2","12/13/2018 11:34",4.81877517011526,7201
"23","lot6","tester2","B3","Handler2","Loadboard5","12/23/2018 8:19",4.00485436893204,9064
"24","lot8","tester4","B3","Handler3","Loadboard3","12/24/2018 21:52",2.33415233415233,8140
"25","lot16","tester2","B3","Handler2","Loadboard5","12/21/2018 23:28",3.99436090225564,8512
"26","lot17","tester2","B3","Handler2","Loadboard5","12/21/2018 2:18",6.1501210653753,8260
"27","lot18","tester4","B3","Handler3","Loadboard3","12/17/2018 7:03",9.50920245398773,8802
"28","lot18","tester2","B3","Handler2","Loadboard5","12/19/2018 17:58",7.19095993608036,8761
"29","lot20","tester5","B3","Handler4","Loadboard6","12/12/2018 12:07",4.53509571558797,8776
"30","lot21","tester1","B3","Handler2","Loadboard4","12/11/2018 2:27",4.07592872947479,8587
"31","lot22","tester4","B3","Handler3","Loadboard3","12/18/2018 10:32",3.41680814940577,9424
"32","lot23","tester4","B3","Handler3","Loadboard3","12/24/2018 15:10",2.28177806479389,9291
"33","lot24","tester4","B3","Handler3","Loadboard3","12/18/2018 17:12",2.4825021872266,9144
"34","lot25","tester2","B3","Handler2","Loadboard5","12/22/2018 13:38",1.85890774737328,8661
"35","lot27","tester2","B3","Handler2","Loadboard5","12/22/2018 19:28",2.37717908082409,8203
"36","lot28","tester2","B3","Handler2","Loadboard5","12/21/2018 16:31",2.44044160371877,8605
"37","lot29","tester2","B3","Handler2","Loadboard5","12/20/2018 11:41",6.76602791577951,8454
"38","lot29","tester2","B3","Handler2","Loadboard5","12/22/2018 7:41",100,110
"39","lot30","tester2","B3","Handler2","Loadboard5","12/21/2018 9:26",2.8711404808021,8777
"40","lot34","tester2","B3","Handler2","Loadboard5","12/23/2018 15:56",1.93139841688654,9475
"41","lot44","tester4","B3","Handler3","Loadboard3","12/16/2018 23:58",4.13002337749082,8983
"42","lot45","tester4","B3","Handler3","Loadboard3","12/17/2018 14:11",4.11148220661062,8683
"43","lot46","tester4","B3","Handler3","Loadboard3","12/18/2018 2:41",3.40476190476191,8400
"44","lot47","tester4","B3","Handler3","Loadboard3","12/17/2018 20:13",3.23920265780731,7224
"45","lot48","tester2","B3","Handler2","Loadboard5","12/20/2018 3:30",7.9436115462072,8938
"46","lot49","tester2","B3","Handler2","Loadboard5","12/20/2018 19:37",5.95918367346939,8575
"47","lot7","tester4","B3","Handler3","Loadboard3","12/27/2018 18:22",2.56597348899428,8223
"48","lot10","tester4","B3","Handler3","Loadboard3","12/27/2018 2:55",9.93622020812353,5958
"49","lot11","tester4","B3","Handler3","Loadboard3","12/28/2018 0:37",5.19901610017889,8944
"50","lot19","tester4","B3","Handler3","Loadboard3","12/27/2018 12:04",1.34489693313223,7956
"51","lot31","tester4","B3","Handler3","Loadboard3","12/28/2018 6:52",4.86119110701532,8681
"52","lot5","tester4","B1","Handler2","Loadboard5","1/2/2019 21:29",3.13570205479452,9344
"53","lot5","tester1","B3","Handler1","Loadboard4","1/3/2019 20:48",21.3541666666667,960
"54","lot5","tester4","B2","Handler2","Loadboard4","1/7/2019 22:21",15.2709359605911,9135
"55","lot6","tester1","B1","Handler1","Loadboard2","12/22/2018 14:07",4.63387978142077,9150
"56","lot6","tester4","B2","Handler2","Loadboard5","1/1/2019 13:36",18.1961136695496,8903
"57","lot9","tester4","B1","Handler2","Loadboard5","1/2/2019 13:26",14.1027251036042,7963
"58","lot9","tester1","B3","Handler1","Loadboard4","1/3/2019 2:45",5.87113991612657,7869
"59","lot9","tester4","B2","Handler2","Loadboard5","1/4/2019 12:00",27.9017857142857,3584
"60","lot12","tester1","B1","Handler1","Loadboard4","1/2/2019 16:39",5.3032049804012,8674
