no,lot,EndTimestamp.datetime,measstep,TestprgName,Tester,Loadboard,HandlerID,HBIN,SBIN,LBIN_P_NAME,SocketNumber,N,testedQtyBySocket,percentBySocket,timestamp
1,lot13,1/25/2019 1:57,B1,testprogram1,tester3,Loadboard2,Handler1,1,1,,1,2001,2338,0.855859709153122,2019-01-25 01:57:00
2,lot13,1/25/2019 1:57,B1,testprogram1,tester3,Loadboard2,Handler1,1,1,,3,2032,2309,0.880034647033348,2019-01-25 01:57:00
3,lot13,1/25/2019 1:57,B1,testprogram1,tester3,Loadboard2,Handler1,1,1,,0,2326,2402,0.968359700249792,2019-01-25 01:57:00
4,lot13,1/25/2019 1:57,B1,testprogram1,tester3,Loadboard2,Handler1,1,1,,2,767,1172,0.654436860068259,2019-01-25 01:57:00
5,lot13,1/25/2019 1:57,B1,testprogram1,tester3,Loadboard2,Handler1,6,39,KELVINRES_CSQ,2,155,1172,0.132252559726962,2019-01-25 01:57:00
6,lot13,1/25/2019 1:57,B1,testprogram1,tester3,Loadboard2,Handler1,6,39,KELVINRES_IFB_2,3,117,2309,0.050671286271113,2019-01-25 01:57:00
7,lot13,1/25/2019 1:57,B1,testprogram1,tester3,Loadboard2,Handler1,6,39,KELVINRES_GND,2,60,1172,0.0511945392491468,2019-01-25 01:57:00
8,lot13,1/25/2019 1:57,B1,testprogram1,tester3,Loadboard2,Handler1,6,39,KELVINRES_VDD,2,74,1172,0.0631399317406143,2019-01-25 01:57:00
9,lot13,1/25/2019 1:57,B1,testprogram1,tester3,Loadboard2,Handler1,6,39,KELVINRES_IFB_2,2,7,1172,0.00597269624573379,2019-01-25 01:57:00
10,lot13,1/25/2019 1:57,B1,testprogram1,tester3,Loadboard2,Handler1,8,51,CLK_DROPOUT,0,14,2402,0.00582847626977519,2019-01-25 01:57:00
11,lot13,1/25/2019 1:57,B1,testprogram1,tester3,Loadboard2,Handler1,6,39,KELVINRES_CSQ_2,2,33,1172,0.0281569965870307,2019-01-25 01:57:00
12,lot13,1/25/2019 1:57,B1,testprogram1,tester3,Loadboard2,Handler1,6,39,KELVINRES_GND_2,2,13,1172,0.0110921501706485,2019-01-25 01:57:00
13,lot13,1/25/2019 1:57,B1,testprogram1,tester3,Loadboard2,Handler1,8,51,CLK_DROPOUT_2,0,14,2402,0.00582847626977519,2019-01-25 01:57:00
